seqname	source	feature	start	end	score	strand	frame	attributes	Name	orf_classification	gene	chr
chr1	window	gene	1	1000	.	+	.	No comment	window.chr1.1.1000	.	.	1
chr1	window	CDS	1	1000	.	+	.	No comment	window.chr1.1.1000	.	.	1
chr1	window	gene	1001	2000	.	+	.	No comment	window.chr1.1001.2000	.	.	1
chr1	window	CDS	1001	2000	.	+	.	No comment	window.chr1.1001.2000	.	.	1
chr1	window	gene	2001	3000	.	+	.	No comment	window.chr1.2001.3000	.	.	1
chr1	window	CDS	2001	3000	.	+	.	No comment	window.chr1.2001.3000	.	.	1
chr1	window	gene	3001	4000	.	+	.	No comment	window.chr1.3001.4000	.	.	1
chr1	window	CDS	3001	4000	.	+	.	No comment	window.chr1.3001.4000	.	.	1
chr1	window	gene	4001	5000	.	+	.	No comment	window.chr1.4001.5000	.	.	1
chr1	window	CDS	4001	5000	.	+	.	No comment	window.chr1.4001.5000	.	.	1
chr1	window	gene	5001	6000	.	+	.	No comment	window.chr1.5001.6000	.	.	1
chr1	window	CDS	5001	6000	.	+	.	No comment	window.chr1.5001.6000	.	.	1
chr1	window	gene	6001	7000	.	+	.	No comment	window.chr1.6001.7000	.	.	1
chr1	window	CDS	6001	7000	.	+	.	No comment	window.chr1.6001.7000	.	.	1
chr1	window	gene	7001	8000	.	+	.	No comment	window.chr1.7001.8000	.	.	1
chr1	window	CDS	7001	8000	.	+	.	No comment	window.chr1.7001.8000	.	.	1
chr1	window	gene	8001	9000	.	+	.	No comment	window.chr1.8001.9000	.	.	1
chr1	window	CDS	8001	9000	.	+	.	No comment	window.chr1.8001.9000	.	.	1
chr1	window	gene	9001	10000	.	+	.	No comment	window.chr1.9001.10000	.	.	1
chr1	window	CDS	9001	10000	.	+	.	No comment	window.chr1.9001.10000	.	.	1
chr1	window	gene	10001	11000	.	+	.	No comment	window.chr1.10001.11000	.	.	1
chr1	window	CDS	10001	11000	.	+	.	No comment	window.chr1.10001.11000	.	.	1
chr1	window	gene	11001	12000	.	+	.	No comment	window.chr1.11001.12000	.	.	1
chr1	window	CDS	11001	12000	.	+	.	No comment	window.chr1.11001.12000	.	.	1
chr1	window	gene	12001	13000	.	+	.	No comment	window.chr1.12001.13000	.	.	1
chr1	window	CDS	12001	13000	.	+	.	No comment	window.chr1.12001.13000	.	.	1
chr1	window	gene	13001	14000	.	+	.	No comment	window.chr1.13001.14000	.	.	1
chr1	window	CDS	13001	14000	.	+	.	No comment	window.chr1.13001.14000	.	.	1
chr1	window	gene	14001	15000	.	+	.	No comment	window.chr1.14001.15000	.	.	1
chr1	window	CDS	14001	15000	.	+	.	No comment	window.chr1.14001.15000	.	.	1
chr1	window	gene	15001	16000	.	+	.	No comment	window.chr1.15001.16000	.	.	1
chr1	window	CDS	15001	16000	.	+	.	No comment	window.chr1.15001.16000	.	.	1
