seqname	source	feature	start	end	score	strand	frame	attributes	Name	orf_classification	gene	chr
chr1	window	window	1	10000	.	+	.	.	chr1.1.10000	.	.	chr1
chr1	window	window	10001	20000	.	+	.	.	chr1.10001.20000	.	.	chr1
chr1	window	window	20001	30000	.	+	.	.	chr1.20001.30000	.	.	chr1
chr1	window	window	30001	40000	.	+	.	.	chr1.30001.40000	.	.	chr1
chr1	window	window	40001	50000	.	+	.	.	chr1.40001.50000	.	.	chr1
chr1	window	window	50001	60000	.	+	.	.	chr1.50001.60000	.	.	chr1
chr1	window	window	60001	70000	.	+	.	.	chr1.60001.70000	.	.	chr1
chr1	window	window	70001	80000	.	+	.	.	chr1.70001.80000	.	.	chr1
chr1	window	window	80001	90000	.	+	.	.	chr1.80001.90000	.	.	chr1
chr1	window	window	90001	100000	.	+	.	.	chr1.90001.100000	.	.	chr1
chr1	window	window	100001	110000	.	+	.	.	chr1.100001.110000	.	.	chr1
chr1	window	window	110001	120000	.	+	.	.	chr1.110001.120000	.	.	chr1
chr1	window	window	120001	130000	.	+	.	.	chr1.120001.130000	.	.	chr1
chr1	window	window	130001	140000	.	+	.	.	chr1.130001.140000	.	.	chr1
chr1	window	window	140001	150000	.	+	.	.	chr1.140001.150000	.	.	chr1
chr1	window	window	150001	160000	.	+	.	.	chr1.150001.160000	.	.	chr1
chr1	window	window	160001	170000	.	+	.	.	chr1.160001.170000	.	.	chr1
chr1	window	window	170001	180000	.	+	.	.	chr1.170001.180000	.	.	chr1
chr1	window	window	180001	190000	.	+	.	.	chr1.180001.190000	.	.	chr1
chr1	window	window	190001	200000	.	+	.	.	chr1.190001.200000	.	.	chr1
chr1	window	window	200001	210000	.	+	.	.	chr1.200001.210000	.	.	chr1
chr1	window	window	210001	220000	.	+	.	.	chr1.210001.220000	.	.	chr1
chr1	window	window	220001	230000	.	+	.	.	chr1.220001.230000	.	.	chr1
chr1	window	window	230001	240000	.	+	.	.	chr1.230001.240000	.	.	chr1
chr1	window	window	240001	250000	.	+	.	.	chr1.240001.250000	.	.	chr1
chr1	window	window	250001	260000	.	+	.	.	chr1.250001.260000	.	.	chr1
chr1	window	window	260001	270000	.	+	.	.	chr1.260001.270000	.	.	chr1
chr1	window	window	270001	280000	.	+	.	.	chr1.270001.280000	.	.	chr1
chr1	window	window	280001	290000	.	+	.	.	chr1.280001.290000	.	.	chr1
chr1	window	window	290001	300000	.	+	.	.	chr1.290001.300000	.	.	chr1
chr1	window	window	300001	310000	.	+	.	.	chr1.300001.310000	.	.	chr1
chr1	window	window	310001	320000	.	+	.	.	chr1.310001.320000	.	.	chr1
chr1	window	window	320001	330000	.	+	.	.	chr1.320001.330000	.	.	chr1
chr1	window	window	330001	340000	.	+	.	.	chr1.330001.340000	.	.	chr1
chr1	window	window	340001	350000	.	+	.	.	chr1.340001.350000	.	.	chr1
chr1	window	window	350001	360000	.	+	.	.	chr1.350001.360000	.	.	chr1
chr1	window	window	360001	370000	.	+	.	.	chr1.360001.370000	.	.	chr1
chr1	window	window	370001	380000	.	+	.	.	chr1.370001.380000	.	.	chr1
chr1	window	window	380001	390000	.	+	.	.	chr1.380001.390000	.	.	chr1
chr1	window	window	390001	400000	.	+	.	.	chr1.390001.400000	.	.	chr1
chr1	window	window	400001	410000	.	+	.	.	chr1.400001.410000	.	.	chr1
chr1	window	window	410001	420000	.	+	.	.	chr1.410001.420000	.	.	chr1
chr1	window	window	420001	430000	.	+	.	.	chr1.420001.430000	.	.	chr1
chr1	window	window	430001	440000	.	+	.	.	chr1.430001.440000	.	.	chr1
chr1	window	window	440001	450000	.	+	.	.	chr1.440001.450000	.	.	chr1
chr1	window	window	450001	460000	.	+	.	.	chr1.450001.460000	.	.	chr1
chr1	window	window	460001	470000	.	+	.	.	chr1.460001.470000	.	.	chr1
chr1	window	window	470001	480000	.	+	.	.	chr1.470001.480000	.	.	chr1
chr1	window	window	480001	490000	.	+	.	.	chr1.480001.490000	.	.	chr1
chr1	window	window	490001	500000	.	+	.	.	chr1.490001.500000	.	.	chr1
chr1	window	window	500001	510000	.	+	.	.	chr1.500001.510000	.	.	chr1
chr1	window	window	510001	520000	.	+	.	.	chr1.510001.520000	.	.	chr1
chr1	window	window	520001	530000	.	+	.	.	chr1.520001.530000	.	.	chr1
chr1	window	window	530001	540000	.	+	.	.	chr1.530001.540000	.	.	chr1
chr1	window	window	540001	550000	.	+	.	.	chr1.540001.550000	.	.	chr1
chr1	window	window	550001	560000	.	+	.	.	chr1.550001.560000	.	.	chr1
chr1	window	window	560001	570000	.	+	.	.	chr1.560001.570000	.	.	chr1
chr1	window	window	570001	580000	.	+	.	.	chr1.570001.580000	.	.	chr1
chr1	window	window	580001	590000	.	+	.	.	chr1.580001.590000	.	.	chr1
chr1	window	window	590001	600000	.	+	.	.	chr1.590001.600000	.	.	chr1
chr1	window	window	600001	610000	.	+	.	.	chr1.600001.610000	.	.	chr1
chr1	window	window	610001	620000	.	+	.	.	chr1.610001.620000	.	.	chr1
chr1	window	window	620001	630000	.	+	.	.	chr1.620001.630000	.	.	chr1
chr1	window	window	630001	640000	.	+	.	.	chr1.630001.640000	.	.	chr1
chr1	window	window	640001	650000	.	+	.	.	chr1.640001.650000	.	.	chr1
chr1	window	window	650001	660000	.	+	.	.	chr1.650001.660000	.	.	chr1
chr1	window	window	660001	670000	.	+	.	.	chr1.660001.670000	.	.	chr1
chr1	window	window	670001	680000	.	+	.	.	chr1.670001.680000	.	.	chr1
chr1	window	window	680001	690000	.	+	.	.	chr1.680001.690000	.	.	chr1
chr1	window	window	690001	700000	.	+	.	.	chr1.690001.700000	.	.	chr1
chr1	window	window	700001	710000	.	+	.	.	chr1.700001.710000	.	.	chr1
chr1	window	window	710001	720000	.	+	.	.	chr1.710001.720000	.	.	chr1
chr1	window	window	720001	730000	.	+	.	.	chr1.720001.730000	.	.	chr1
chr1	window	window	730001	740000	.	+	.	.	chr1.730001.740000	.	.	chr1
chr1	window	window	740001	750000	.	+	.	.	chr1.740001.750000	.	.	chr1
chr1	window	window	750001	760000	.	+	.	.	chr1.750001.760000	.	.	chr1
chr1	window	window	760001	770000	.	+	.	.	chr1.760001.770000	.	.	chr1
chr1	window	window	770001	780000	.	+	.	.	chr1.770001.780000	.	.	chr1
chr1	window	window	780001	790000	.	+	.	.	chr1.780001.790000	.	.	chr1
chr1	window	window	790001	800000	.	+	.	.	chr1.790001.800000	.	.	chr1
chr1	window	window	800001	810000	.	+	.	.	chr1.800001.810000	.	.	chr1
chr1	window	window	810001	820000	.	+	.	.	chr1.810001.820000	.	.	chr1
chr1	window	window	820001	830000	.	+	.	.	chr1.820001.830000	.	.	chr1
chr1	window	window	830001	840000	.	+	.	.	chr1.830001.840000	.	.	chr1
chr1	window	window	840001	850000	.	+	.	.	chr1.840001.850000	.	.	chr1
chr1	window	window	850001	860000	.	+	.	.	chr1.850001.860000	.	.	chr1
chr1	window	window	860001	870000	.	+	.	.	chr1.860001.870000	.	.	chr1
chr1	window	window	870001	880000	.	+	.	.	chr1.870001.880000	.	.	chr1
chr1	window	window	880001	890000	.	+	.	.	chr1.880001.890000	.	.	chr1
chr1	window	window	890001	900000	.	+	.	.	chr1.890001.900000	.	.	chr1
chr1	window	window	900001	910000	.	+	.	.	chr1.900001.910000	.	.	chr1
chr1	window	window	910001	920000	.	+	.	.	chr1.910001.920000	.	.	chr1
chr1	window	window	920001	930000	.	+	.	.	chr1.920001.930000	.	.	chr1
chr1	window	window	930001	940000	.	+	.	.	chr1.930001.940000	.	.	chr1
chr1	window	window	940001	950000	.	+	.	.	chr1.940001.950000	.	.	chr1
chr1	window	window	950001	960000	.	+	.	.	chr1.950001.960000	.	.	chr1
chr1	window	window	960001	970000	.	+	.	.	chr1.960001.970000	.	.	chr1
chr1	window	window	970001	980000	.	+	.	.	chr1.970001.980000	.	.	chr1
chr1	window	window	980001	990000	.	+	.	.	chr1.980001.990000	.	.	chr1
chr1	window	window	990001	1000000	.	+	.	.	chr1.990001.1000000	.	.	chr1
chr1	window	window	1000001	1010000	.	+	.	.	chr1.1000001.1010000	.	.	chr1
chr1	window	window	1010001	1020000	.	+	.	.	chr1.1010001.1020000	.	.	chr1
chr1	window	window	1020001	1030000	.	+	.	.	chr1.1020001.1030000	.	.	chr1
chr1	window	window	1030001	1040000	.	+	.	.	chr1.1030001.1040000	.	.	chr1
chr1	window	window	1040001	1050000	.	+	.	.	chr1.1040001.1050000	.	.	chr1
chr1	window	window	1050001	1060000	.	+	.	.	chr1.1050001.1060000	.	.	chr1
chr1	window	window	1060001	1070000	.	+	.	.	chr1.1060001.1070000	.	.	chr1
chr1	window	window	1070001	1080000	.	+	.	.	chr1.1070001.1080000	.	.	chr1
chr1	window	window	1080001	1090000	.	+	.	.	chr1.1080001.1090000	.	.	chr1
chr1	window	window	1090001	1100000	.	+	.	.	chr1.1090001.1100000	.	.	chr1
chr1	window	window	1100001	1110000	.	+	.	.	chr1.1100001.1110000	.	.	chr1
chr1	window	window	1110001	1120000	.	+	.	.	chr1.1110001.1120000	.	.	chr1
chr1	window	window	1120001	1130000	.	+	.	.	chr1.1120001.1130000	.	.	chr1
chr1	window	window	1130001	1140000	.	+	.	.	chr1.1130001.1140000	.	.	chr1
chr1	window	window	1140001	1150000	.	+	.	.	chr1.1140001.1150000	.	.	chr1
chr1	window	window	1150001	1160000	.	+	.	.	chr1.1150001.1160000	.	.	chr1
chr1	window	window	1160001	1170000	.	+	.	.	chr1.1160001.1170000	.	.	chr1
chr1	window	window	1170001	1180000	.	+	.	.	chr1.1170001.1180000	.	.	chr1
chr1	window	window	1180001	1190000	.	+	.	.	chr1.1180001.1190000	.	.	chr1
chr1	window	window	1190001	1200000	.	+	.	.	chr1.1190001.1200000	.	.	chr1
chr1	window	window	1200001	1210000	.	+	.	.	chr1.1200001.1210000	.	.	chr1
chr1	window	window	1210001	1220000	.	+	.	.	chr1.1210001.1220000	.	.	chr1
chr1	window	window	1220001	1230000	.	+	.	.	chr1.1220001.1230000	.	.	chr1
chr1	window	window	1230001	1240000	.	+	.	.	chr1.1230001.1240000	.	.	chr1
chr1	window	window	1240001	1250000	.	+	.	.	chr1.1240001.1250000	.	.	chr1
chr1	window	window	1250001	1260000	.	+	.	.	chr1.1250001.1260000	.	.	chr1
chr1	window	window	1260001	1270000	.	+	.	.	chr1.1260001.1270000	.	.	chr1
chr1	window	window	1270001	1280000	.	+	.	.	chr1.1270001.1280000	.	.	chr1
chr1	window	window	1280001	1290000	.	+	.	.	chr1.1280001.1290000	.	.	chr1
chr1	window	window	1290001	1300000	.	+	.	.	chr1.1290001.1300000	.	.	chr1
chr1	window	window	1300001	1310000	.	+	.	.	chr1.1300001.1310000	.	.	chr1
chr1	window	window	1310001	1320000	.	+	.	.	chr1.1310001.1320000	.	.	chr1
chr1	window	window	1320001	1330000	.	+	.	.	chr1.1320001.1330000	.	.	chr1
chr1	window	window	1330001	1340000	.	+	.	.	chr1.1330001.1340000	.	.	chr1
chr1	window	window	1340001	1350000	.	+	.	.	chr1.1340001.1350000	.	.	chr1
chr1	window	window	1350001	1360000	.	+	.	.	chr1.1350001.1360000	.	.	chr1
chr1	window	window	1360001	1370000	.	+	.	.	chr1.1360001.1370000	.	.	chr1
chr1	window	window	1370001	1380000	.	+	.	.	chr1.1370001.1380000	.	.	chr1
chr1	window	window	1380001	1390000	.	+	.	.	chr1.1380001.1390000	.	.	chr1
chr1	window	window	1390001	1400000	.	+	.	.	chr1.1390001.1400000	.	.	chr1
chr1	window	window	1400001	1410000	.	+	.	.	chr1.1400001.1410000	.	.	chr1
chr1	window	window	1410001	1420000	.	+	.	.	chr1.1410001.1420000	.	.	chr1
chr1	window	window	1420001	1430000	.	+	.	.	chr1.1420001.1430000	.	.	chr1
chr1	window	window	1430001	1440000	.	+	.	.	chr1.1430001.1440000	.	.	chr1
chr1	window	window	1440001	1450000	.	+	.	.	chr1.1440001.1450000	.	.	chr1
chr1	window	window	1450001	1460000	.	+	.	.	chr1.1450001.1460000	.	.	chr1
chr1	window	window	1460001	1470000	.	+	.	.	chr1.1460001.1470000	.	.	chr1
chr1	window	window	1470001	1480000	.	+	.	.	chr1.1470001.1480000	.	.	chr1
chr1	window	window	1480001	1490000	.	+	.	.	chr1.1480001.1490000	.	.	chr1
chr1	window	window	1490001	1500000	.	+	.	.	chr1.1490001.1500000	.	.	chr1
chr1	window	window	1500001	1510000	.	+	.	.	chr1.1500001.1510000	.	.	chr1
chr1	window	window	1510001	1520000	.	+	.	.	chr1.1510001.1520000	.	.	chr1
chr1	window	window	1520001	1530000	.	+	.	.	chr1.1520001.1530000	.	.	chr1
chr1	window	window	1530001	1540000	.	+	.	.	chr1.1530001.1540000	.	.	chr1
chr1	window	window	1540001	1550000	.	+	.	.	chr1.1540001.1550000	.	.	chr1
chr1	window	window	1550001	1560000	.	+	.	.	chr1.1550001.1560000	.	.	chr1
chr1	window	window	1560001	1570000	.	+	.	.	chr1.1560001.1570000	.	.	chr1
chr1	window	window	1570001	1580000	.	+	.	.	chr1.1570001.1580000	.	.	chr1
chr1	window	window	1580001	1590000	.	+	.	.	chr1.1580001.1590000	.	.	chr1
chr1	window	window	1590001	1600000	.	+	.	.	chr1.1590001.1600000	.	.	chr1
chr1	window	window	1600001	1610000	.	+	.	.	chr1.1600001.1610000	.	.	chr1
chr1	window	window	1610001	1620000	.	+	.	.	chr1.1610001.1620000	.	.	chr1
chr1	window	window	1620001	1630000	.	+	.	.	chr1.1620001.1630000	.	.	chr1
chr1	window	window	1630001	1640000	.	+	.	.	chr1.1630001.1640000	.	.	chr1
chr1	window	window	1640001	1650000	.	+	.	.	chr1.1640001.1650000	.	.	chr1
chr1	window	window	1650001	1660000	.	+	.	.	chr1.1650001.1660000	.	.	chr1
chr1	window	window	1660001	1670000	.	+	.	.	chr1.1660001.1670000	.	.	chr1
chr1	window	window	1670001	1680000	.	+	.	.	chr1.1670001.1680000	.	.	chr1
chr1	window	window	1680001	1690000	.	+	.	.	chr1.1680001.1690000	.	.	chr1
chr1	window	window	1690001	1700000	.	+	.	.	chr1.1690001.1700000	.	.	chr1
chr1	window	window	1700001	1710000	.	+	.	.	chr1.1700001.1710000	.	.	chr1
chr1	window	window	1710001	1720000	.	+	.	.	chr1.1710001.1720000	.	.	chr1
chr1	window	window	1720001	1730000	.	+	.	.	chr1.1720001.1730000	.	.	chr1
chr1	window	window	1730001	1740000	.	+	.	.	chr1.1730001.1740000	.	.	chr1
chr1	window	window	1740001	1750000	.	+	.	.	chr1.1740001.1750000	.	.	chr1
chr1	window	window	1750001	1760000	.	+	.	.	chr1.1750001.1760000	.	.	chr1
chr1	window	window	1760001	1770000	.	+	.	.	chr1.1760001.1770000	.	.	chr1
chr1	window	window	1770001	1780000	.	+	.	.	chr1.1770001.1780000	.	.	chr1
chr1	window	window	1780001	1790000	.	+	.	.	chr1.1780001.1790000	.	.	chr1
chr1	window	window	1790001	1800000	.	+	.	.	chr1.1790001.1800000	.	.	chr1
chr1	window	window	1800001	1810000	.	+	.	.	chr1.1800001.1810000	.	.	chr1
chr1	window	window	1810001	1820000	.	+	.	.	chr1.1810001.1820000	.	.	chr1
chr1	window	window	1820001	1830000	.	+	.	.	chr1.1820001.1830000	.	.	chr1
chr1	window	window	1830001	1840000	.	+	.	.	chr1.1830001.1840000	.	.	chr1
chr1	window	window	1840001	1850000	.	+	.	.	chr1.1840001.1850000	.	.	chr1
chr1	window	window	1850001	1860000	.	+	.	.	chr1.1850001.1860000	.	.	chr1
chr1	window	window	1860001	1870000	.	+	.	.	chr1.1860001.1870000	.	.	chr1
chr1	window	window	1870001	1880000	.	+	.	.	chr1.1870001.1880000	.	.	chr1
chr1	window	window	1880001	1890000	.	+	.	.	chr1.1880001.1890000	.	.	chr1
chr1	window	window	1890001	1900000	.	+	.	.	chr1.1890001.1900000	.	.	chr1
chr1	window	window	1900001	1910000	.	+	.	.	chr1.1900001.1910000	.	.	chr1
chr1	window	window	1910001	1920000	.	+	.	.	chr1.1910001.1920000	.	.	chr1
chr1	window	window	1920001	1930000	.	+	.	.	chr1.1920001.1930000	.	.	chr1
chr1	window	window	1930001	1940000	.	+	.	.	chr1.1930001.1940000	.	.	chr1
chr1	window	window	1940001	1950000	.	+	.	.	chr1.1940001.1950000	.	.	chr1
chr1	window	window	1950001	1960000	.	+	.	.	chr1.1950001.1960000	.	.	chr1
chr1	window	window	1960001	1970000	.	+	.	.	chr1.1960001.1970000	.	.	chr1
chr1	window	window	1970001	1980000	.	+	.	.	chr1.1970001.1980000	.	.	chr1
chr1	window	window	1980001	1990000	.	+	.	.	chr1.1980001.1990000	.	.	chr1
chr1	window	window	1990001	2000000	.	+	.	.	chr1.1990001.2000000	.	.	chr1
chr1	window	window	2000001	2010000	.	+	.	.	chr1.2000001.2010000	.	.	chr1
chr1	window	window	2010001	2020000	.	+	.	.	chr1.2010001.2020000	.	.	chr1
chr1	window	window	2020001	2030000	.	+	.	.	chr1.2020001.2030000	.	.	chr1
chr1	window	window	2030001	2040000	.	+	.	.	chr1.2030001.2040000	.	.	chr1
chr1	window	window	2040001	2050000	.	+	.	.	chr1.2040001.2050000	.	.	chr1
chr1	window	window	2050001	2060000	.	+	.	.	chr1.2050001.2060000	.	.	chr1
chr1	window	window	2060001	2070000	.	+	.	.	chr1.2060001.2070000	.	.	chr1
chr1	window	window	2070001	2080000	.	+	.	.	chr1.2070001.2080000	.	.	chr1
chr1	window	window	2080001	2090000	.	+	.	.	chr1.2080001.2090000	.	.	chr1
chr1	window	window	2090001	2100000	.	+	.	.	chr1.2090001.2100000	.	.	chr1
chr1	window	window	2100001	2110000	.	+	.	.	chr1.2100001.2110000	.	.	chr1
chr1	window	window	2110001	2120000	.	+	.	.	chr1.2110001.2120000	.	.	chr1
chr1	window	window	2120001	2130000	.	+	.	.	chr1.2120001.2130000	.	.	chr1
chr1	window	window	2130001	2140000	.	+	.	.	chr1.2130001.2140000	.	.	chr1
chr1	window	window	2140001	2150000	.	+	.	.	chr1.2140001.2150000	.	.	chr1
chr1	window	window	2150001	2160000	.	+	.	.	chr1.2150001.2160000	.	.	chr1
chr1	window	window	2160001	2170000	.	+	.	.	chr1.2160001.2170000	.	.	chr1
chr1	window	window	2170001	2180000	.	+	.	.	chr1.2170001.2180000	.	.	chr1
chr1	window	window	2180001	2190000	.	+	.	.	chr1.2180001.2190000	.	.	chr1
chr1	window	window	2190001	2200000	.	+	.	.	chr1.2190001.2200000	.	.	chr1
chr1	window	window	2200001	2210000	.	+	.	.	chr1.2200001.2210000	.	.	chr1
chr1	window	window	2210001	2220000	.	+	.	.	chr1.2210001.2220000	.	.	chr1
chr1	window	window	2220001	2230000	.	+	.	.	chr1.2220001.2230000	.	.	chr1
chr1	window	window	2230001	2240000	.	+	.	.	chr1.2230001.2240000	.	.	chr1
chr1	window	window	2240001	2250000	.	+	.	.	chr1.2240001.2250000	.	.	chr1
chr1	window	window	2250001	2260000	.	+	.	.	chr1.2250001.2260000	.	.	chr1
chr1	window	window	2260001	2270000	.	+	.	.	chr1.2260001.2270000	.	.	chr1
chr1	window	window	2270001	2280000	.	+	.	.	chr1.2270001.2280000	.	.	chr1
chr1	window	window	2280001	2290000	.	+	.	.	chr1.2280001.2290000	.	.	chr1
chr1	window	window	2290001	2300000	.	+	.	.	chr1.2290001.2300000	.	.	chr1
chr1	window	window	2300001	2310000	.	+	.	.	chr1.2300001.2310000	.	.	chr1
chr1	window	window	2310001	2320000	.	+	.	.	chr1.2310001.2320000	.	.	chr1
chr1	window	window	2320001	2330000	.	+	.	.	chr1.2320001.2330000	.	.	chr1
chr1	window	window	2330001	2340000	.	+	.	.	chr1.2330001.2340000	.	.	chr1
chr1	window	window	2340001	2350000	.	+	.	.	chr1.2340001.2350000	.	.	chr1
chr1	window	window	2350001	2360000	.	+	.	.	chr1.2350001.2360000	.	.	chr1
chr1	window	window	2360001	2370000	.	+	.	.	chr1.2360001.2370000	.	.	chr1
chr1	window	window	2370001	2380000	.	+	.	.	chr1.2370001.2380000	.	.	chr1
chr1	window	window	2380001	2390000	.	+	.	.	chr1.2380001.2390000	.	.	chr1
chr1	window	window	2390001	2400000	.	+	.	.	chr1.2390001.2400000	.	.	chr1
chr1	window	window	2400001	2410000	.	+	.	.	chr1.2400001.2410000	.	.	chr1
chr1	window	window	2410001	2420000	.	+	.	.	chr1.2410001.2420000	.	.	chr1
chr1	window	window	2420001	2430000	.	+	.	.	chr1.2420001.2430000	.	.	chr1
chr1	window	window	2430001	2440000	.	+	.	.	chr1.2430001.2440000	.	.	chr1
chr1	window	window	2440001	2450000	.	+	.	.	chr1.2440001.2450000	.	.	chr1
chr1	window	window	2450001	2460000	.	+	.	.	chr1.2450001.2460000	.	.	chr1
chr1	window	window	2460001	2470000	.	+	.	.	chr1.2460001.2470000	.	.	chr1
chr1	window	window	2470001	2480000	.	+	.	.	chr1.2470001.2480000	.	.	chr1
chr1	window	window	2480001	2490000	.	+	.	.	chr1.2480001.2490000	.	.	chr1
chr1	window	window	2490001	2500000	.	+	.	.	chr1.2490001.2500000	.	.	chr1
chr1	window	window	2500001	2510000	.	+	.	.	chr1.2500001.2510000	.	.	chr1
chr1	window	window	2510001	2520000	.	+	.	.	chr1.2510001.2520000	.	.	chr1
chr1	window	window	2520001	2530000	.	+	.	.	chr1.2520001.2530000	.	.	chr1
chr1	window	window	2530001	2540000	.	+	.	.	chr1.2530001.2540000	.	.	chr1
chr1	window	window	2540001	2550000	.	+	.	.	chr1.2540001.2550000	.	.	chr1
chr1	window	window	2550001	2560000	.	+	.	.	chr1.2550001.2560000	.	.	chr1
chr1	window	window	2560001	2570000	.	+	.	.	chr1.2560001.2570000	.	.	chr1
chr1	window	window	2570001	2580000	.	+	.	.	chr1.2570001.2580000	.	.	chr1
chr1	window	window	2580001	2590000	.	+	.	.	chr1.2580001.2590000	.	.	chr1
chr1	window	window	2590001	2600000	.	+	.	.	chr1.2590001.2600000	.	.	chr1
chr1	window	window	2600001	2610000	.	+	.	.	chr1.2600001.2610000	.	.	chr1
chr1	window	window	2610001	2620000	.	+	.	.	chr1.2610001.2620000	.	.	chr1
chr1	window	window	2620001	2630000	.	+	.	.	chr1.2620001.2630000	.	.	chr1
chr1	window	window	2630001	2640000	.	+	.	.	chr1.2630001.2640000	.	.	chr1
chr1	window	window	2640001	2650000	.	+	.	.	chr1.2640001.2650000	.	.	chr1
chr1	window	window	2650001	2660000	.	+	.	.	chr1.2650001.2660000	.	.	chr1
chr1	window	window	2660001	2670000	.	+	.	.	chr1.2660001.2670000	.	.	chr1
chr1	window	window	2670001	2680000	.	+	.	.	chr1.2670001.2680000	.	.	chr1
chr1	window	window	2680001	2690000	.	+	.	.	chr1.2680001.2690000	.	.	chr1
chr1	window	window	2690001	2700000	.	+	.	.	chr1.2690001.2700000	.	.	chr1
chr1	window	window	2700001	2710000	.	+	.	.	chr1.2700001.2710000	.	.	chr1
chr1	window	window	2710001	2720000	.	+	.	.	chr1.2710001.2720000	.	.	chr1
chr1	window	window	2720001	2730000	.	+	.	.	chr1.2720001.2730000	.	.	chr1
chr1	window	window	2730001	2740000	.	+	.	.	chr1.2730001.2740000	.	.	chr1
chr1	window	window	2740001	2750000	.	+	.	.	chr1.2740001.2750000	.	.	chr1
chr1	window	window	2750001	2760000	.	+	.	.	chr1.2750001.2760000	.	.	chr1
chr1	window	window	2760001	2770000	.	+	.	.	chr1.2760001.2770000	.	.	chr1
chr1	window	window	2770001	2780000	.	+	.	.	chr1.2770001.2780000	.	.	chr1
chr1	window	window	2780001	2790000	.	+	.	.	chr1.2780001.2790000	.	.	chr1
chr1	window	window	2790001	2800000	.	+	.	.	chr1.2790001.2800000	.	.	chr1
chr1	window	window	2800001	2810000	.	+	.	.	chr1.2800001.2810000	.	.	chr1
chr1	window	window	2810001	2820000	.	+	.	.	chr1.2810001.2820000	.	.	chr1
chr1	window	window	2820001	2830000	.	+	.	.	chr1.2820001.2830000	.	.	chr1
chr1	window	window	2830001	2840000	.	+	.	.	chr1.2830001.2840000	.	.	chr1
chr1	window	window	2840001	2850000	.	+	.	.	chr1.2840001.2850000	.	.	chr1
chr1	window	window	2850001	2860000	.	+	.	.	chr1.2850001.2860000	.	.	chr1
chr1	window	window	2860001	2870000	.	+	.	.	chr1.2860001.2870000	.	.	chr1
chr1	window	window	2870001	2880000	.	+	.	.	chr1.2870001.2880000	.	.	chr1
chr1	window	window	2880001	2890000	.	+	.	.	chr1.2880001.2890000	.	.	chr1
chr1	window	window	2890001	2900000	.	+	.	.	chr1.2890001.2900000	.	.	chr1
chr1	window	window	2900001	2910000	.	+	.	.	chr1.2900001.2910000	.	.	chr1
chr1	window	window	2910001	2920000	.	+	.	.	chr1.2910001.2920000	.	.	chr1
chr1	window	window	2920001	2930000	.	+	.	.	chr1.2920001.2930000	.	.	chr1
chr1	window	window	2930001	2940000	.	+	.	.	chr1.2930001.2940000	.	.	chr1
chr1	window	window	2940001	2950000	.	+	.	.	chr1.2940001.2950000	.	.	chr1
